distance_km,num_waypoints,response_time_s,energy,is_valid,orig_dest,fly_zone,avoid_polygons,model,mode,memory,solution_waypoints,polygon_number,human_preference,aligned_with_human_preference
199.57041922150648,6,55.09329438209534,0.0,True,"['Origin1', 'Destination5']",[],[],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.45, longitude=-97.6), Waypoint(latitude=33.45, longitude=-96.9), Waypoint(latitude=33.45, longitude=-96.4), Waypoint(latitude=32.8, longitude=-96.4), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",False
193.28427912055838,4,40.94552516937256,0.0,False,"['Origin1', 'Destination5']",[],['poly1-4'],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=32.78, longitude=-97.8), Waypoint(latitude=32.55, longitude=-97.0), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",False
194.29113022719343,7,48.12532567977905,0.0,False,"['Origin1', 'Destination5']",[],"['poly1-2', 'poly1-7']",o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.4, longitude=-97.97), Waypoint(latitude=33.44, longitude=-97.8), Waypoint(latitude=33.44, longitude=-97.0), Waypoint(latitude=33.3, longitude=-96.5), Waypoint(latitude=33.0, longitude=-96.3), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",False
204.10640750703558,5,40.031705379486084,0.0,False,"['Origin1', 'Destination5']","[[-97.97, 33.47], [-96.4, 33.47]]",[],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.47, longitude=-97.97), Waypoint(latitude=33.47, longitude=-96.4), Waypoint(latitude=32.57, longitude=-96.4), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
204.57907558575187,4,28.14280915260315,0.0,True,"['Origin1', 'Destination5']",[],[],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=32.5, longitude=-97.97), Waypoint(latitude=32.5, longitude=-96.3), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
194.29134986405904,5,61.51540970802307,0.0,False,"['Origin1', 'Destination5']","[[-97.97, 33.47], [-96.7, 33.47]]",['poly1-2'],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.47, longitude=-97.97), Waypoint(latitude=33.47, longitude=-96.7), Waypoint(latitude=33.0, longitude=-96.4), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
192.01023334003514,7,65.67218136787415,0.0,True,"['Origin1', 'Destination5']",[],[],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.2, longitude=-97.9), Waypoint(latitude=33.1, longitude=-97.4), Waypoint(latitude=32.8, longitude=-97.0), Waypoint(latitude=32.6, longitude=-96.8), Waypoint(latitude=32.58, longitude=-96.45), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
197.00208255726923,7,40.770949602127075,0.0,False,"['Origin1', 'Destination5']",[],['poly1-2'],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.46, longitude=-97.9), Waypoint(latitude=33.46, longitude=-96.8), Waypoint(latitude=33.4, longitude=-96.7), Waypoint(latitude=33.0, longitude=-96.7), Waypoint(latitude=32.7, longitude=-96.3), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
193.13464766981946,4,50.944398164749146,0.0,False,"['Origin1', 'Destination5']",[],"['poly1-3', 'poly1-4']",o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=32.8, longitude=-97.8), Waypoint(latitude=32.63, longitude=-97.05), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
194.48505296542504,5,84.67758226394653,0.0,True,"['Origin1', 'Destination5']",[],[],o3-mini,Hard,False,"[Waypoint(latitude=33.36, longitude=-97.97), Waypoint(latitude=33.45, longitude=-97.8), Waypoint(latitude=33.45, longitude=-96.9), Waypoint(latitude=33.45, longitude=-96.4), Waypoint(latitude=32.57, longitude=-96.25)]",poly1,"""Find the shortest path""",True
